,room,room_type,campus
247,Б-209-2,ауд,"Проспект Вернадского, д.78"
248,Б-210,комп,"Проспект Вернадского, д.78"
249,Б-211,комп,"Проспект Вернадского, д.78"
250,Б-402,ауд,"Проспект Вернадского, д.78"
251,БК МССВ,,
252,БКУРДЛ,,
253,БКУРЛД,,
254,БУКРЛД,,
255,База,ауд,
256,База,,
257,"База ""ПЛУТОН""",,
258,В-104,лаб,"Проспект Вернадского, д.78"
259,В-108,лаб,"Проспект Вернадского, д.78"
260,В-108-1,лаб,"Проспект Вернадского, д.78"
261,В-108-1а,комп,"Проспект Вернадского, д.78"
262,В-108-1б,комп,"Проспект Вернадского, д.78"
263,В-203,лаб,"Проспект Вернадского, д.78"
264,В-204,лаб,"Проспект Вернадского, д.78"
265,В-205,ауд,"Проспект Вернадского, д.78"
266,В-206,лаб,"Проспект Вернадского, д.78"
267,В-211,ауд,"Проспект Вернадского, д.78"
268,В-212,ауд,"Проспект Вернадского, д.78"
269,В-223,лаб,"Проспект Вернадского, д.78"
270,В-303,лаб,"Проспект Вернадского, д.78"
271,В-316,лаб,"Проспект Вернадского, д.78"
272,В-317,лаб,"Проспект Вернадского, д.78"
273,В-321,лаб,"Проспект Вернадского, д.78"
274,В-324,лаб,"Проспект Вернадского, д.78"
275,В-326,лаб,"Проспект Вернадского, д.78"
276,В-327,лаб,"Проспект Вернадского, д.78"
277,В-329,ауд,"Проспект Вернадского, д.78"
278,В-330,лаб,"Проспект Вернадского, д.78"
279,В-401,ауд,"Проспект Вернадского, д.78"
280,В-401-1,комп,"Проспект Вернадского, д.78"
281,В-402,ауд,"Проспект Вернадского, д.78"
282,В-404-1,лаб,"Проспект Вернадского, д.78"
283,В-404-2,лаб,"Проспект Вернадского, д.78"
284,В-408,ауд,"Проспект Вернадского, д.78"
285,В-409,ауд,"Проспект Вернадского, д.78"
286,В-410,лаб,"Проспект Вернадского, д.78"
287,В-411,лаб,"Проспект Вернадского, д.78"
288,В-411,,"Проспект Вернадского, д.78"
289,В-412,лаб,"Проспект Вернадского, д.78"
290,В-413,ауд,"Проспект Вернадского, д.78"
291,В-415,лаб,"Проспект Вернадского, д.78"
292,В-421-1,лаб,"Проспект Вернадского, д.78"
293,В-421-2,лаб,"Проспект Вернадского, д.78"
294,Г-101,комп,"Проспект Вернадского, д.78"
295,Г-102,ауд,"Проспект Вернадского, д.78"
296,Г-109а,комп,"Проспект Вернадского, д.78"
297,Г-109б,комп,"Проспект Вернадского, д.78"
298,Г-110а,комп,"Проспект Вернадского, д.78"
299,Г-110б,комп,"Проспект Вернадского, д.78"
300,Г-111а,комп,"Проспект Вернадского, д.78"
301,Г-111б,комп,"Проспект Вернадского, д.78"
302,Г-112,ауд,"Проспект Вернадского, д.78"
303,Г-201-1,лаб,"Проспект Вернадского, д.78"
304,Г-201-2,комп,"Проспект Вернадского, д.78"
305,Г-201-3,лаб,"Проспект Вернадского, д.78"
306,Г-202,ауд,"Проспект Вернадского, д.78"
307,Г-208,ауд,"Проспект Вернадского, д.78"
308,Г-210,лаб,"Проспект Вернадского, д.78"
309,Г-212,ауд,"Проспект Вернадского, д.78"
310,Г-213,комп,"Проспект Вернадского, д.78"
311,Г-226-1,комп,"Проспект Вернадского, д.78"
312,Г-226-2,комп,"Проспект Вернадского, д.78"
313,Г-227-1,комп,"Проспект Вернадского, д.78"
314,Г-227-2,комп,"Проспект Вернадского, д.78"
315,Г-301б,комп,"Проспект Вернадского, д.78"
316,Г-301в,комп,"Проспект Вернадского, д.78"
317,Г-304,комп,"Проспект Вернадского, д.78"
318,Г-307,лаб,"Проспект Вернадского, д.78"
319,Г-307-1,лаб,"Проспект Вернадского, д.78"
320,Г-310,комп,"Проспект Вернадского, д.78"
321,Г-312,комп,"Проспект Вернадского, д.78"
